# ZAP Baseline Scan Rules Configuration
# Format: rule_id	action	description
# Actions: IGNORE, WARN, FAIL
# See: https://www.zaproxy.org/docs/docker/baseline-scan/

# Reviewed informational findings are ignored explicitly. Any rule not listed
# here retains ZAP's default warning/failure behavior and blocks the action.
# Security headers: accepted for the internal HTTP scan target.
10020	IGNORE	Missing Anti-clickjacking Header
10021	IGNORE	X-Content-Type-Options Header Missing
10027	IGNORE	Information Disclosure - Suspicious Comments
10036	IGNORE	Server Leaks Version Information
10037	IGNORE	Server Leaks Information via X-Powered-By
10038	IGNORE	Content Security Policy Header Not Set
10049	IGNORE	Storable and Cacheable Content
10063	IGNORE	Permissions Policy Header Not Set

# These are common in development/internal tools
10035	IGNORE	Strict-Transport-Security Header Not Set
10098	IGNORE	Cross-Domain Misconfiguration
10109	IGNORE	Modern Web Application

# Cookie flags - may need adjustment based on deployment
10010	IGNORE	Cookie No HttpOnly Flag
10011	IGNORE	Cookie Without Secure Flag
10054	IGNORE	Cookie without SameSite Attribute

# SPA/Build tool specific - handled by Vite at build time
90003	IGNORE	Sub Resource Integrity Attribute Missing
90004	IGNORE	Insufficient Site Isolation Against Spectre Vulnerability

# API-specific - may generate false positives
90033	IGNORE	Loosely Scoped Cookie
